Artist,Track,Energy,Valence,Url_youtube
Linkin Park,In the End,0.864,0.4,https://www.youtube.com/watch?v=eVTXPUF4Oz4
Linkin Park,Numb,0.863,0.243,https://www.youtube.com/watch?v=kXYiU_JCYtU
Linkin Park,What I've Done,0.93,0.287,https://www.youtube.com/watch?v=8sgycukafqQ
Linkin Park,Numb / Encore,0.793,0.751,https://www.youtube.com/watch?v=DLlF2FMv968
Linkin Park,One Step Closer,0.969,0.538,https://www.youtube.com/watch?v=4qlCC1GOwFw
Linkin Park,Faint,0.978,0.594,https://www.youtube.com/watch?v=LYU-8IFcDPw
Linkin Park,Bleed It Out,0.967,0.596,https://www.youtube.com/watch?v=OnuuYcqhzCE
Linkin Park,Papercut,0.939,0.661,https://www.youtube.com/watch?v=vjVkXlxsO8Q
Linkin Park,Crawling,0.702,0.299,https://www.youtube.com/watch?v=Gd9OhYroLN0
Linkin Park,BURN IT DOWN,0.972,0.585,https://www.youtube.com/watch?v=dxytyRy-O1k
Radiohead,Creep,0.43,0.104,https://www.youtube.com/watch?v=XFkzRNyygfk
Radiohead,No Surprises,0.393,0.118,https://www.youtube.com/watch?v=u5CVsCnxyXg
Radiohead,Karma Police,0.501,0.324,https://www.youtube.com/watch?v=1uYWYWPc9HU
Radiohead,High and Dry,0.383,0.35,https://www.youtube.com/watch?v=AG6H5i1x5A0
Radiohead,Exit Music (For A Film),0.276,0.195,https://www.youtube.com/watch?v=Bf01riuiJWA
Radiohead,Weird Fishes/ Arpeggi,0.61,0.199,https://www.youtube.com/watch?v=TNRCvG9YtYI
Radiohead,Jigsaw Falling Into Place,0.832,0.807,https://www.youtube.com/watch?v=GoLJJRIWCLU
Radiohead,Fake Plastic Trees,0.229,0.135,https://www.youtube.com/watch?v=n5h0qHwNrHk
Radiohead,Just,0.767,0.359,https://www.youtube.com/watch?v=oIFLtNYI3Ls
Radiohead,Nude,0.342,0.167,https://www.youtube.com/watch?v=BbWBRnDK_AE
AC/DC,Highway to Hell,0.913,0.423,https://www.youtube.com/watch?v=l482T0yNkeo
AC/DC,Thunderstruck,0.89,0.259,https://www.youtube.com/watch?v=v2AC41dglnM
AC/DC,Back In Black,0.7,0.763,https://www.youtube.com/watch?v=pAgnJDJN4VA
AC/DC,You Shook Me All Night Long,0.767,0.755,https://www.youtube.com/watch?v=Lo2qQmj0_h4
AC/DC,T.N.T.,0.759,0.435,https://www.youtube.com/watch?v=44XYEeD1A1U
AC/DC,Hells Bells,0.873,0.303,https://www.youtube.com/watch?v=etAIpkdhU9Q
AC/DC,Dirty Deeds Done Dirt Cheap,0.906,0.507,https://www.youtube.com/watch?v=jsjdjWGDvFk
AC/DC,Shoot to Thrill,0.904,0.48,https://www.youtube.com/watch?v=xRQnJyP77tY
AC/DC,It's a Long Way to the Top (If You Wanna Rock 'N' Roll),0.863,0.532,https://www.youtube.com/watch?v=j9Z39Uqybcw
AC/DC,Rock N Roll Train,0.931,0.697,https://www.youtube.com/watch?v=FrFvNphZ5BQ
Black Eyed Peas,I Gotta Feeling,0.766,0.61,https://www.youtube.com/watch?v=uSD4vsh1zDA
Black Eyed Peas,DON'T YOU WORRY,0.868,0.483,https://www.youtube.com/watch?v=me19SUmWu2s
Black Eyed Peas,Where Is The Love?,0.699,0.809,https://www.youtube.com/watch?v=WpYeekQkAdc
Black Eyed Peas,Just Can’t Get Enough,0.628,0.262,https://www.youtube.com/watch?v=OrTyD7rjBpw
Black Eyed Peas,GIRL LIKE ME,0.485,0.312,https://www.youtube.com/watch?v=vMLk_T0PPbk
Black Eyed Peas,Pump It,0.931,0.744,https://www.youtube.com/watch?v=ZaI2IlHwmgQ
Black Eyed Peas,Pump It Louder,0.942,0.543,https://www.youtube.com/watch?v=H7qR7xvKFEU
Black Eyed Peas,Meet Me Halfway,0.629,0.4,https://www.youtube.com/watch?v=I7HahVwYpwo
Black Eyed Peas,RITMO (Bad Boys For Life),0.716,0.666,https://www.youtube.com/watch?v=EzKkl64rRbM
Black Eyed Peas,SIMPLY THE BEST,0.789,0.646,https://www.youtube.com/watch?v=AbNOhZ1rsG8
Michael Jackson,Billie Jean,0.457,0.884,https://www.youtube.com/watch?v=Zi_XLOBDo_Y
Michael Jackson,Chicago,0.756,0.55,https://www.youtube.com/watch?v=xaYSqjvZjTs
Michael Jackson,Beat It,0.711,0.901,https://www.youtube.com/watch?v=oRdxUFDoQe0
Michael Jackson,Smooth Criminal - 2012 Remaster,0.981,0.595,https://www.youtube.com/watch?v=q8w1d01Y2vY
Michael Jackson,Rock with You - Single Version,0.535,0.848,https://www.youtube.com/watch?v=5X-Mrc2l1d0
Michael Jackson,Don't Stop 'Til You Get Enough,0.821,0.947,https://www.youtube.com/watch?v=yURRmWtbTbo
Michael Jackson,They Don't Care About Us,0.905,0.731,https://www.youtube.com/watch?v=QNJL6nfu__Q
Michael Jackson,Remember the Time,0.921,0.795,https://www.youtube.com/watch?v=LeiFF0gvqcc
Michael Jackson,The Way You Make Me Feel - 2012 Remaster,0.854,0.54,https://www.youtube.com/watch?v=HzZ_urpj4As
Michael Jackson,Love Never Felt So Good,0.719,0.712,https://www.youtube.com/watch?v=oG08ukJPtR8
P!nk,Just Give Me a Reason (feat. Nate Ruess),0.547,0.441,https://www.youtube.com/watch?v=OpQFFLBMEPI
P!nk,Never Gonna Not Dance Again,0.802,0.769,https://www.youtube.com/watch?v=iqYK79jCssA
P!nk,Raise Your Glass,0.709,0.624,https://www.youtube.com/watch?v=XjVNlG5cZyQ
P!nk,Try,0.628,0.552,https://www.youtube.com/watch?v=yTCDVfMz15M
P!nk,So What,0.87,0.462,https://www.youtube.com/watch?v=FJfFZqTlWrQ
P!nk,What About Us,0.588,0.193,https://www.youtube.com/watch?v=ClU3fctbGls
P!nk,Cover Me In Sunshine,0.592,0.292,https://www.youtube.com/watch?v=vGZhMIXH62M
P!nk,TRUSTFALL,0.888,0.25,https://www.youtube.com/watch?v=D2KE2a5qo0g
P!nk,Who Knew,0.734,0.46,https://www.youtube.com/watch?v=NJWIbIe0N90
P!nk,True Love (feat. Lily Allen),0.823,0.578,https://www.youtube.com/watch?v=zsmUOdmm02A
Eminem,Mockingbird,0.678,0.254,https://www.youtube.com/watch?v=S9bCLPwzSC0
Eminem,Without Me,0.669,0.662,https://www.youtube.com/watch?v=YVkUvmDQ3HY
Eminem,The Real Slim Shady,0.661,0.76,https://www.youtube.com/watch?v=eJO5HU_7_1w
Eminem,Superman,0.755,0.58,https://www.youtube.com/watch?v=8kYkciD9VjU
Eminem,Till I Collapse,0.847,0.1,https://www.youtube.com/watch?v=3m_QN8P93IA
Eminem,Stan,0.768,0.507,https://www.youtube.com/watch?v=gOMhN-hfMtY
Eminem,Love The Way You Lie,0.925,0.641,https://www.youtube.com/watch?v=uelHwf8o7_U
Eminem,Godzilla (feat. Juice WRLD),0.745,0.829,https://www.youtube.com/watch?v=r_0JjYUe5jo
Eminem,Sing For The Moment,0.824,0.185,https://www.youtube.com/watch?v=D4hAVemuQXY
Eminem,Not Afraid,0.954,0.668,https://www.youtube.com/watch?v=j5-yKhDd64s
Pharrell Williams,"Happy - From ""Despicable Me 2""",0.822,0.962,https://www.youtube.com/watch?v=C7dPqrmDWxs
Pharrell Williams,Down In Atlanta,0.819,0.903,https://www.youtube.com/watch?v=t_Jhj-gBYCs
Pharrell Williams,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",0.745,0.872,https://www.youtube.com/watch?v=ozv4q2ov3Mk
Pharrell Williams,Cash In Cash Out,0.56,0.154,https://www.youtube.com/watch?v=cKEwnhc8ItY
Pharrell Williams,"Stay With Me (with Justin Timberlake, Halsey & Pharrell)",0.733,0.9,https://www.youtube.com/watch?v=eMQuofsOOzo
Pharrell Williams,Hit Different,0.516,0.716,https://www.youtube.com/watch?v=qJlMkMtK7-8
Pharrell Williams,Neon Guts (feat. Pharrell Williams),0.563,0.412,https://www.youtube.com/watch?v=nTOj3UQhkLA
Pharrell Williams,JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams),0.571,0.62,https://www.youtube.com/watch?v=icoOOiSlKK0
Pharrell Williams,Just A Cloud Away,0.46,0.677,https://www.youtube.com/watch?v=reYRmpiVSyA
Pharrell Williams,Frontin' (feat. Jay-Z) - Club Mix,0.404,0.759,https://www.youtube.com/watch?v=LOtkH5amC7s
Khalid,lovely (with Khalid),0.296,0.12,https://www.youtube.com/watch?v=V1Pl8CzNzCw
Khalid,Numb,0.774,0.632,https://www.youtube.com/watch?v=mRXKnG2eugU
Khalid,Silence,0.761,0.286,https://www.youtube.com/watch?v=Tx1sqYc3qas
Khalid,Young Dumb & Broke,0.539,0.394,https://www.youtube.com/watch?v=IPfJnp1guPc
Khalid,Eastside (with Halsey & Khalid),0.686,0.329,https://www.youtube.com/watch?v=56WBK4ZK_cw
Khalid,Better,0.552,0.112,https://www.youtube.com/watch?v=x3bfa3DZ8JM
Khalid,Location,0.449,0.326,https://www.youtube.com/watch?v=by3yRdlQvzs
Khalid,8TEEN,0.585,0.642,https://www.youtube.com/watch?v=KZTbbE1sNF8
Khalid,Beautiful People (feat. Khalid),0.647,0.546,https://www.youtube.com/watch?v=mj0XInqZMHY
Khalid,Love Lies (with Normani),0.648,0.338,https://www.youtube.com/watch?v=xYtsL9znopI
Shakira,"Shakira: Bzrp Music Sessions, Vol. 53",0.632,0.498,https://www.youtube.com/watch?v=CocEMWdc7Ck
Shakira,Monotonía,0.695,0.823,https://www.youtube.com/watch?v=j5y6xLpRwx4
Shakira,Te Felicito,0.636,0.575,https://www.youtube.com/watch?v=4I25nV9hXGA
Shakira,Hips Don't Lie (feat. Wyclef Jean),0.824,0.758,https://www.youtube.com/watch?v=DUT5rEU6pqM
Shakira,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),0.871,0.753,https://www.youtube.com/watch?v=pRpeEdMmmQ0
Shakira,DON'T YOU WORRY,0.868,0.483,https://www.youtube.com/watch?v=me19SUmWu2s
Shakira,Dia de Enero,0.361,0.526,https://www.youtube.com/watch?v=BPidLpADlaM
Shakira,Chantaje (feat. Maluma),0.773,0.907,https://www.youtube.com/watch?v=6Mgqbai3fKo
Shakira,Inevitable,0.461,0.338,https://www.youtube.com/watch?v=nYbcVK2jjXc
Shakira,Antologia,0.403,0.575,https://www.youtube.com/watch?v=eZGIoE8A8L4
Machine Gun Kelly,my ex's best friend (with blackbear),0.675,0.298,https://www.youtube.com/watch?v=J_n01uvyhI8
Machine Gun Kelly,I Think I'm OKAY (with YUNGBLUD & Travis Barker),0.744,0.277,https://www.youtube.com/watch?v=wK-8TCDrbV8
Machine Gun Kelly,maybe (feat. Bring Me The Horizon),0.92,0.537,https://www.youtube.com/watch?v=9xht4JIOfjU
Machine Gun Kelly,"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)",0.718,0.216,https://www.youtube.com/watch?v=IumYMCllMsM
Machine Gun Kelly,forget me too (feat. Halsey),0.875,0.522,https://www.youtube.com/watch?v=0tn6nWYNK3Q
Machine Gun Kelly,bloody valentine,0.858,0.506,https://www.youtube.com/watch?v=wSdT-SArM2Q
Machine Gun Kelly,Bad Things (with Camila Cabello),0.691,0.305,https://www.youtube.com/watch?v=QpbQ4I3Eidg
Machine Gun Kelly,make up sex (feat. blackbear),0.678,0.682,https://www.youtube.com/watch?v=hbXcy50umRc
Machine Gun Kelly,"F*CK YOU, GOODBYE (feat. Machine Gun Kelly)",0.632,0.296,https://www.youtube.com/watch?v=AKDlT3j8mwU
Machine Gun Kelly,ay! (feat. Lil Wayne),0.617,0.491,https://www.youtube.com/watch?v=QwowRNLw8Fg
Nicky Jam,X,0.749,0.694,https://www.youtube.com/watch?v=_I_D_8Z4sJE
Nicky Jam,El Perdón (with Enrique Iglesias),0.69,0.66,https://www.youtube.com/watch?v=hXI8RQYC36Q
Nicky Jam,Bella y Sensual,0.713,0.749,https://www.youtube.com/watch?v=RSRzIrOqaN4
Nicky Jam,"Nicky Jam: Bzrp Music Sessions, Vol. 41",0.849,0.818,https://www.youtube.com/watch?v=8Q2_uF26DkQ
Nicky Jam,Cuaderno,0.648,0.688,https://www.youtube.com/watch?v=_WmvVJ43RoM
Nicky Jam,En La Cama (feat. Daddy Yankee),0.912,0.885,https://www.youtube.com/watch?v=QgZcLdDR7qw
Nicky Jam,Si Te Preguntan...,0.803,0.922,https://www.youtube.com/watch?v=nAwWqC9GYgM
